date,dogs_small,dogs_medium,dogs_large,cats,equine_vaccine_visits,puppies,adult_new_animals,resident_adults,quarantine_animals,cleaning_runs,outbreak_alert,feed_kg_consumed,vaccine_doses_used,bleach_liters_used
2026-03-16,70,90,55,58,0,1,5,272,14,16,0,66.38,3,29.62
2026-03-17,70,90,55,58,1,0,4,273,12,15,0,68.88,2,26.91
2026-03-18,70,90,55,58,0,2,5,271,10,15,0,67.13,1,27.71
2026-03-19,70,90,55,60,0,0,4,275,7,15,0,61.15,2,24.78
2026-03-20,69,89,55,60,1,0,1,273,11,15,0,63.66,1,26.63
2026-03-21,70,90,55,60,1,1,4,274,9,15,0,65.72,3,27.93
2026-03-22,70,90,55,60,0,0,7,275,12,15,0,64.55,0,27.0
2026-03-23,70,90,55,60,0,4,3,271,12,15,0,63.42,0,27.28
2026-03-24,69,89,55,60,0,1,3,272,9,15,0,64.95,2,25.63
2026-03-25,68,88,55,59,0,0,2,270,11,15,0,61.77,3,28.28
2026-03-26,67,87,55,60,0,1,3,268,10,15,0,63.58,2,27.9
2026-03-27,69,90,55,60,0,4,5,270,14,16,0,71.16,0,29.61
2026-03-28,70,90,55,60,0,1,8,274,16,16,0,65.85,2,29.68
2026-03-29,70,90,55,60,1,1,2,274,14,16,0,65.76,4,27.76
2026-03-30,70,90,55,60,0,1,10,274,15,16,0,66.09,5,28.72
2026-03-31,70,90,55,60,0,0,5,275,12,15,0,64.3,1,27.05
2026-04-01,70,90,55,60,0,4,9,271,16,16,0,68.1,3,28.86
2026-04-02,70,90,55,60,2,1,6,274,18,16,0,67.32,4,28.32
2026-04-03,70,90,55,60,0,1,5,274,11,15,0,65.9,2,25.46
2026-04-04,70,90,55,60,0,1,1,274,7,15,0,64.79,0,27.09
2026-04-05,69,89,55,60,1,1,3,272,15,16,0,67.32,2,29.55
2026-04-06,70,90,55,60,0,0,7,275,14,16,0,61.74,3,28.97
2026-04-07,70,90,55,60,2,1,8,274,14,16,0,67.74,3,28.73
2026-04-08,69,89,54,60,0,0,7,272,11,15,0,61.82,2,25.93
2026-04-09,70,90,55,60,1,3,3,272,11,15,0,63.77,2,26.21
2026-04-10,70,90,55,60,0,2,1,273,10,15,0,66.27,3,26.22
2026-04-11,70,90,55,60,0,1,2,274,10,15,0,64.7,1,25.73
2026-04-12,70,90,55,60,0,0,2,275,9,15,0,67.59,2,26.8
2026-04-13,70,90,55,58,0,1,2,272,11,15,0,68.53,0,26.75
2026-04-14,70,90,55,60,2,2,8,273,15,16,0,62.8,2,29.67
2026-04-15,69,89,55,60,0,0,3,273,11,15,0,66.48,2,27.27
2026-04-16,70,90,55,58,3,1,2,272,10,15,0,67.29,4,26.06
2026-04-17,70,90,55,57,0,0,4,272,9,15,0,68.38,1,26.23
2026-04-18,70,90,55,58,0,2,2,271,11,15,0,62.06,1,27.0
2026-04-19,70,90,55,58,0,0,2,273,8,15,0,64.31,3,27.57
2026-04-20,70,90,55,60,0,2,4,273,11,15,0,62.72,3,26.04
2026-04-21,70,90,55,60,1,2,3,273,10,15,0,66.02,2,25.8
2026-04-22,68,87,54,60,0,0,0,269,9,15,0,63.75,0,26.67
2026-04-23,69,89,55,60,1,1,7,272,9,15,0,62.16,3,25.53
2026-04-24,69,89,55,60,0,2,5,271,12,15,0,67.27,4,27.32
2026-04-25,70,90,55,59,0,0,6,274,13,16,0,64.66,3,28.28
2026-04-26,70,90,55,59,0,2,2,272,10,15,0,65.7,1,26.96
2026-04-27,70,90,55,57,0,2,5,270,16,16,0,67.68,1,28.29
2026-04-28,70,90,55,57,1,1,3,271,10,15,0,65.84,3,25.21
2026-04-29,69,89,54,59,0,0,5,271,11,15,0,65.16,1,27.19
2026-04-30,70,90,55,56,1,3,4,268,14,16,0,61.48,3,27.89
2026-05-01,69,89,55,57,0,2,0,268,6,15,0,62.57,4,26.0
2026-05-02,70,90,55,60,0,3,5,272,14,16,0,61.61,2,28.62
2026-05-03,70,90,55,59,0,2,4,272,12,15,0,69.06,2,27.94
2026-05-04,69,88,54,60,0,0,3,271,12,15,0,62.39,1,27.3
2026-05-05,69,88,54,60,1,3,4,268,14,16,0,67.52,2,28.75
2026-05-06,70,90,55,60,0,1,8,274,11,15,0,63.52,1,26.2
2026-05-07,70,90,55,60,0,0,5,275,11,15,0,67.15,2,28.19
2026-05-08,70,90,55,60,0,1,4,274,15,16,0,66.79,1,29.61
2026-05-09,69,89,55,60,0,0,2,273,8,15,0,63.08,1,26.07
2026-05-10,69,89,55,59,0,0,2,272,9,15,0,65.32,3,26.56
2026-05-11,69,89,55,57,1,0,2,270,6,15,0,65.21,1,25.9
2026-05-12,69,89,55,58,0,1,5,270,15,16,0,67.77,1,30.1
2026-05-13,68,88,54,59,0,0,3,269,10,15,0,69.7,2,26.37
2026-05-14,68,88,54,60,0,1,5,269,10,15,0,63.36,2,26.88
2026-05-15,70,90,55,60,0,2,6,273,20,16,0,62.1,2,29.1
2026-05-16,70,90,55,60,0,0,1,275,9,15,0,67.39,1,25.95
2026-05-17,70,90,55,60,0,0,1,275,10,15,0,64.38,1,24.76
2026-05-18,69,89,55,60,0,3,2,270,12,15,0,67.08,0,26.68
2026-05-19,70,90,55,60,0,2,4,273,11,15,0,67.58,0,27.17
2026-05-20,70,90,55,59,0,0,2,274,10,15,0,64.99,2,26.88
2026-05-21,70,90,55,58,1,0,6,273,10,15,0,65.57,3,26.91
